path,ext,size,terms,counts
CONF/IMAGES.DOC,.DOC,9000,door,"{""door"": 1}"
CONF/MODES.DOC,.DOC,25610,read,"{""read"": 1}"
CONF/TUTORIAL.DOC,.DOC,610,audio,"{""audio"": 1}"
DOC/BIOS.DOC,.DOC,98969,GRYPHON interrupt toc media read audio,"{""GRYPHON"": 32, ""audio"": 116, ""interrupt"": 22, ""media"": 15, ""read"": 30, ""toc"": 1}"
DOC/CARDSIZE.DOC,.DOC,1246,read,"{""read"": 1}"
DOC/INVENT.DOC,.DOC,9882,media read,"{""media"": 1, ""read"": 1}"
DOC/MIDIPAT.DOC,.DOC,19736,interrupt media read,"{""interrupt"": 13, ""media"": 1, ""read"": 1}"
DOC/SLIDES.DOC,.DOC,31362,audio,"{""audio"": 25}"
DOC/SYNTH.DOC,.DOC,11073,GRYPHON read,"{""GRYPHON"": 1, ""read"": 2}"
DOC/VISPC.DOC,.DOC,3406,audio,"{""audio"": 1}"
DOC/VOLDESC.DOC,.DOC,58088,audio,"{""audio"": 23}"
DOC/VOLPAT.DOC,.DOC,8964,media read audio,"{""audio"": 1, ""media"": 1, ""read"": 1}"
DOC/WAVEDESC.DOC,.DOC,20256,interrupt media audio,"{""audio"": 22, ""interrupt"": 24, ""media"": 3}"
DOC/WAVEPAT.DOC,.DOC,7541,media read audio,"{""audio"": 5, ""media"": 1, ""read"": 1}"
HANDCTRL/COVER.TXT,.TXT,1202,GRYPHON,"{""GRYPHON"": 1}"
HANDCTRL/HC.H,.H,3630,GRYPHON,"{""GRYPHON"": 4}"
HANDCTRL/KEYTST.C,.C,14927,GRYPHON,"{""GRYPHON"": 2}"
KEY/CARDTAL2.ASM,.ASM,13872,CDROM,"{""CDROM"": 1}"
KEY/CARDTAL3.ASM,.ASM,12926,CDROM,"{""CDROM"": 1}"
KEY/MSCDEX.INC,.INC,1401,MSCD MSCDEX media eject door sector bpb audio,"{""MSCD"": 2, ""MSCDEX"": 2, ""audio"": 2, ""bpb"": 1, ""door"": 3, ""eject"": 4, ""media"": 1, ""sector"": 1}"
KEY/TESTVIS.C,.C,8233,eject read,"{""eject"": 6, ""read"": 4}"
MEMCARD/MC.H,.H,1753,GRYPHON read,"{""GRYPHON"": 1, ""read"": 2}"
MEMCARD/MCI.INC,.INC,2197,GRYPHON,"{""GRYPHON"": 1}"
MENU/FIXMDIB.C,.C,1415,read,"{""read"": 4}"
MENU/MENU.ASM,.ASM,15787,media door read,"{""door"": 5, ""media"": 2, ""read"": 1}"
MENU/MENUTEST.ASM,.ASM,7790,door read,"{""door"": 1, ""read"": 4}"
MENU/SHIFTPAL.C,.C,1224,read,"{""read"": 4}"
MODETEST/TARGA.H,.H,622,read,"{""read"": 1}"
MS_VIS/CDPLAYER.SYM,.SYM,13764,media,"{""media"": 2}"
MS_VIS/CHANGED.H,.H,153165,toc read,"{""read"": 16, ""toc"": 11}"
MS_VIS/EXEC.ASM,.ASM,1795,MSCD MSCDEX,"{""MSCD"": 4, ""MSCDEX"": 4}"
MS_VIS/HMA.INC,.INC,2599,CDROM,"{""CDROM"": 1}"
MS_VIS/MC.H,.H,1747,GRYPHON read,"{""GRYPHON"": 1, ""read"": 2}"
MS_VIS/MC.SYM,.SYM,1380,read,"{""read"": 1}"
MS_VIS/MCI.INC,.INC,2197,GRYPHON,"{""GRYPHON"": 1}"
MS_VIS/MCICDA.SYM,.SYM,26180,MSCD MSCDEX eject read audio,"{""MSCD"": 2, ""MSCDEX"": 2, ""audio"": 9, ""eject"": 1, ""read"": 3}"
MS_VIS/MCIWAVE.SYM,.SYM,1092,audio,"{""audio"": 2}"
MS_VIS/MMDDK.H,.H,15983,media audio,"{""audio"": 2, ""media"": 1}"
MS_VIS/MMDDK.INC,.INC,11652,media audio,"{""audio"": 1, ""media"": 1}"
MS_VIS/MMSYSTEM.H,.H,82897,media eject door read audio,"{""audio"": 25, ""door"": 2, ""eject"": 1, ""media"": 10, ""read"": 25}"
MS_VIS/MMSYSTEM.INC,.INC,60609,media eject door read audio,"{""audio"": 22, ""door"": 2, ""eject"": 1, ""media"": 10, ""read"": 23}"
MS_VIS/MMSYSTEM.SYM,.SYM,5684,read,"{""read"": 2}"
MS_VIS/TEST.ASM,.ASM,2115,MSCD MSCDEX,"{""MSCD"": 4, ""MSCDEX"": 4}"
REGISTER/RAUX.C,.C,10089,read,"{""read"": 6}"
REGISTER/REGISTER.C,.C,10007,read,"{""read"": 6}"
KEY/TESTVIS/README,README,2370,eject read,"{""eject"": 6, ""read"": 2}"
CONF/SHOWDIB/FIXMENU.C,.C,1323,read,"{""read"": 1}"
CONF/SHOWDIB/MAKETAT.C,.C,29973,eject read audio,"{""audio"": 6, ""eject"": 1, ""read"": 17}"
CONF/SHOWDIB/SHOWASM.ASM,.ASM,15224,read,"{""read"": 1}"
CONF/SHOWDIB/SHOWDIB.C,.C,5961,read,"{""read"": 8}"
CONF/SHOWDIB/TAT.INC,.INC,4863,media,"{""media"": 1}"
CDSPEED/SRC/CDSPEED.C,.C,78193,MSCD MSCDEX CDROM media read sector,"{""CDROM"": 9, ""MSCD"": 16, ""MSCDEX"": 16, ""media"": 1, ""read"": 196, ""sector"": 14}"
CDSPEED/SRC/CDSPEED.DOC,.DOC,26331,MSCD MSCDEX interrupt toc media read sector,"{""MSCD"": 3, ""MSCDEX"": 3, ""interrupt"": 1, ""media"": 2, ""read"": 74, ""sector"": 2, ""toc"": 1}"
CDSPEED/SRC/CDSPEED.H,.H,1033,read,"{""read"": 1}"
CDSPEED/SRC/CDSPEED.MAP,.MAP,40796,MSCD MSCDEX CDROM read,"{""CDROM"": 2, ""MSCD"": 2, ""MSCDEX"": 2, ""read"": 24}"
CDSPEED/SRC/CDSPEED.SYM,.SYM,14532,MSCD MSCDEX CDROM read,"{""CDROM"": 1, ""MSCD"": 1, ""MSCDEX"": 1, ""read"": 12}"
CDSPEED/SRC/ERRORS.TXT,.TXT,4428,read,"{""read"": 9}"
CDSPEED/SRC/TTIME.ASM,.ASM,8611,read,"{""read"": 2}"
CDSPEED/SRC/TTIME.INC,.INC,2233,read,"{""read"": 2}"
CDSPEED/SRC/ZTIME.ASM,.ASM,26340,interrupt read,"{""interrupt"": 1, ""read"": 8}"
BIOS/AT/ATBOOT.ASM,.ASM,7069,interrupt read sector,"{""interrupt"": 3, ""read"": 17, ""sector"": 4}"
BIOS/AT/AT_DRVR.ASM,.ASM,102078,interrupt media read sector,"{""interrupt"": 27, ""media"": 46, ""read"": 119, ""sector"": 85}"
BIOS/AT/AUXDSR.INC,.INC,37296,interrupt read,"{""interrupt"": 19, ""read"": 23}"
BIOS/AT/AUXEQU.INC,.INC,6974,GRYPHON interrupt read,"{""GRYPHON"": 1, ""interrupt"": 2, ""read"": 9}"
BIOS/AT/BLDBIOS.C,.C,8281,read,"{""read"": 14}"
BIOS/AT/CARD.INC,.INC,20488,GRYPHON interrupt toc read,"{""GRYPHON"": 3, ""interrupt"": 2, ""read"": 48, ""toc"": 1}"
BIOS/AT/CASDSR.ASM,.ASM,33918,interrupt read,"{""interrupt"": 58, ""read"": 28}"
BIOS/AT/CLEMINIT.INC,.INC,3188,read,"{""read"": 5}"
BIOS/AT/CLICKS.INC,.INC,30205,interrupt toc read,"{""interrupt"": 1, ""read"": 30, ""toc"": 2}"
BIOS/AT/CMSEQU.INC,.INC,6661,interrupt read,"{""interrupt"": 8, ""read"": 5}"
BIOS/AT/CMSSUB.ASM,.ASM,2880,interrupt read,"{""interrupt"": 2, ""read"": 9}"
BIOS/AT/COMMSTES.ASM,.ASM,17335,interrupt media read,"{""interrupt"": 15, ""media"": 1, ""read"": 10}"
BIOS/AT/COMPAS.ASM,.ASM,42177,interrupt media read sector,"{""interrupt"": 63, ""media"": 1, ""read"": 1, ""sector"": 7}"
BIOS/AT/CONFCHK.ASM,.ASM,13074,interrupt read,"{""interrupt"": 3, ""read"": 19}"
BIOS/AT/CRTDSR.ASM,.ASM,38842,interrupt read,"{""interrupt"": 3, ""read"": 50}"
BIOS/AT/CT606.INC,.INC,22445,interrupt read,"{""interrupt"": 10, ""read"": 11}"
BIOS/AT/CTRLALT.INC,.INC,2443,interrupt read,"{""interrupt"": 1, ""read"": 1}"
BIOS/AT/CUSTINIT.ASM,.ASM,8184,interrupt read,"{""interrupt"": 4, ""read"": 2}"
BIOS/AT/CYBER.INC,.INC,5104,read,"{""read"": 7}"
BIOS/AT/DIAGSCAN.INC,.INC,7523,read,"{""read"": 7}"
BIOS/AT/ECODES.INC,.INC,5728,interrupt read,"{""interrupt"": 5, ""read"": 2}"
BIOS/AT/EIADSR.ASM,.ASM,22915,interrupt read,"{""interrupt"": 4, ""read"": 26}"
BIOS/AT/FILLR2.ASM,.ASM,2338,media,"{""media"": 1}"
BIOS/AT/GRFXSB.INC,.INC,28140,interrupt read,"{""interrupt"": 17, ""read"": 7}"
BIOS/AT/HRDDSR.ASM,.ASM,49185,interrupt read sector,"{""interrupt"": 28, ""read"": 78, ""sector"": 75}"
BIOS/AT/INITSPD.INC,.INC,8467,read,"{""read"": 13}"
BIOS/AT/IOTESTS.ASM,.ASM,10778,interrupt read,"{""interrupt"": 2, ""read"": 2}"
BIOS/AT/JOURNAL.DOC,.DOC,8370,GRYPHON interrupt read audio,"{""GRYPHON"": 2, ""audio"": 1, ""interrupt"": 3, ""read"": 3}"
BIOS/AT/KEYBOARD.ASM,.ASM,15756,interrupt read,"{""interrupt"": 3, ""read"": 16}"
BIOS/AT/KMFIT.INC,.INC,2163,interrupt,"{""interrupt"": 6}"
BIOS/AT/KYBCTL.ASM,.ASM,13979,interrupt read,"{""interrupt"": 5, ""read"": 8}"
BIOS/AT/KYBEQU.INC,.INC,9033,interrupt toc read,"{""interrupt"": 2, ""read"": 7, ""toc"": 2}"
BIOS/AT/LGHTPN.INC,.INC,4776,read,"{""read"": 2}"
BIOS/AT/MACROS.INC,.INC,14349,interrupt read,"{""interrupt"": 4, ""read"": 3}"
BIOS/AT/MEMORY.ASM,.ASM,7879,interrupt read,"{""interrupt"": 1, ""read"": 1}"
BIOS/AT/MISCL1.INC,.INC,22426,interrupt read,"{""interrupt"": 16, ""read"": 9}"
BIOS/AT/MISCL2.INC,.INC,15054,interrupt media read,"{""interrupt"": 42, ""media"": 1, ""read"": 6}"
BIOS/AT/MISDSR.ASM,.ASM,4437,interrupt,"{""interrupt"": 4}"
BIOS/AT/MTESTS.ASM,.ASM,35102,interrupt read,"{""interrupt"": 6, ""read"": 22}"
BIOS/AT/NUKBDSR.ASM,.ASM,15832,interrupt read,"{""interrupt"": 14, ""read"": 25}"
BIOS/AT/NUKBISR.ASM,.ASM,57236,interrupt read,"{""interrupt"": 26, ""read"": 20}"
BIOS/AT/POSTEXEC.ASM,.ASM,11107,interrupt audio,"{""audio"": 3, ""interrupt"": 2}"
BIOS/AT/POSUBS.ASM,.ASM,17512,interrupt read,"{""interrupt"": 7, ""read"": 7}"
BIOS/AT/PREBOOT.ASM,.ASM,12349,GRYPHON interrupt read,"{""GRYPHON"": 1, ""interrupt"": 1, ""read"": 11}"
BIOS/AT/PRTDSR.ASM,.ASM,14223,interrupt read,"{""interrupt"": 2, ""read"": 9}"
BIOS/AT/PRTSCR.ASM,.ASM,6299,interrupt read,"{""interrupt"": 1, ""read"": 3}"
BIOS/AT/RESET.ASM,.ASM,2876,interrupt,"{""interrupt"": 1}"
BIOS/AT/ROM.MAP,.MAP,19924,read,"{""read"": 4}"
BIOS/AT/ROMDAT.ASM,.ASM,13533,GRYPHON interrupt media read,"{""GRYPHON"": 1, ""interrupt"": 19, ""media"": 1, ""read"": 1}"
BIOS/AT/ROMEQU.INC,.INC,22031,interrupt read,"{""interrupt"": 14, ""read"": 19}"
BIOS/AT/ROMOPT.INC,.INC,18566,interrupt read,"{""interrupt"": 2, ""read"": 8}"
BIOS/AT/SHUTDOWN.ASM,.ASM,10220,interrupt read,"{""interrupt"": 4, ""read"": 2}"
BIOS/AT/SPDHOOK.ASM,.ASM,5417,read,"{""read"": 1}"
BIOS/AT/TESTRM.ASM,.ASM,24078,interrupt,"{""interrupt"": 37}"
BIOS/AT/TEXTAT.INC,.INC,8531,interrupt read sector,"{""interrupt"": 7, ""read"": 5, ""sector"": 1}"
BIOS/AT/TIMDSR.ASM,.ASM,50974,interrupt read,"{""interrupt"": 39, ""read"": 60}"
BIOS/AT/VIDSET.ASM,.ASM,9568,interrupt read,"{""interrupt"": 3, ""read"": 9}"
BIOS/AT_PAL/ATBOOT.ASM,.ASM,7069,interrupt read sector,"{""interrupt"": 3, ""read"": 17, ""sector"": 4}"
BIOS/AT_PAL/AT_DRVR.ASM,.ASM,102078,interrupt media read sector,"{""interrupt"": 27, ""media"": 46, ""read"": 119, ""sector"": 85}"
BIOS/AT_PAL/AUXDSR.INC,.INC,37296,interrupt read,"{""interrupt"": 19, ""read"": 23}"
BIOS/AT_PAL/AUXEQU.INC,.INC,6974,GRYPHON interrupt read,"{""GRYPHON"": 1, ""interrupt"": 2, ""read"": 9}"
BIOS/AT_PAL/BLDBIOS.C,.C,8281,read,"{""read"": 14}"
BIOS/AT_PAL/CARD.INC,.INC,20488,GRYPHON interrupt toc read,"{""GRYPHON"": 3, ""interrupt"": 2, ""read"": 48, ""toc"": 1}"
BIOS/AT_PAL/CASDSR.ASM,.ASM,33918,interrupt read,"{""interrupt"": 58, ""read"": 28}"
BIOS/AT_PAL/CLEMINIT.INC,.INC,3188,read,"{""read"": 5}"
BIOS/AT_PAL/CLICKS.INC,.INC,30205,interrupt toc read,"{""interrupt"": 1, ""read"": 30, ""toc"": 2}"
BIOS/AT_PAL/CMSEQU.INC,.INC,6661,interrupt read,"{""interrupt"": 8, ""read"": 5}"
BIOS/AT_PAL/CMSSUB.ASM,.ASM,2880,interrupt read,"{""interrupt"": 2, ""read"": 9}"
BIOS/AT_PAL/COMMSTES.ASM,.ASM,17335,interrupt media read,"{""interrupt"": 15, ""media"": 1, ""read"": 10}"
BIOS/AT_PAL/COMPAS.ASM,.ASM,42177,interrupt media read sector,"{""interrupt"": 63, ""media"": 1, ""read"": 1, ""sector"": 7}"
BIOS/AT_PAL/CONFCHK.ASM,.ASM,13074,interrupt read,"{""interrupt"": 3, ""read"": 19}"
BIOS/AT_PAL/CRTDSR.ASM,.ASM,38842,interrupt read,"{""interrupt"": 3, ""read"": 50}"
BIOS/AT_PAL/CT606.INC,.INC,22445,interrupt read,"{""interrupt"": 10, ""read"": 11}"
BIOS/AT_PAL/CTRLALT.INC,.INC,2443,interrupt read,"{""interrupt"": 1, ""read"": 1}"
BIOS/AT_PAL/CUSTINIT.ASM,.ASM,8184,interrupt read,"{""interrupt"": 4, ""read"": 2}"
BIOS/AT_PAL/CYBER.INC,.INC,5104,read,"{""read"": 7}"
BIOS/AT_PAL/DIAGSCAN.INC,.INC,7523,read,"{""read"": 7}"
BIOS/AT_PAL/ECODES.INC,.INC,5728,interrupt read,"{""interrupt"": 5, ""read"": 2}"
BIOS/AT_PAL/EIADSR.ASM,.ASM,22915,interrupt read,"{""interrupt"": 4, ""read"": 26}"
BIOS/AT_PAL/FILLR2.ASM,.ASM,2338,media,"{""media"": 1}"
BIOS/AT_PAL/GRFXSB.INC,.INC,28140,interrupt read,"{""interrupt"": 17, ""read"": 7}"
BIOS/AT_PAL/HRDDSR.ASM,.ASM,49185,interrupt read sector,"{""interrupt"": 28, ""read"": 78, ""sector"": 75}"
BIOS/AT_PAL/INITSPD.INC,.INC,8467,read,"{""read"": 13}"
BIOS/AT_PAL/IOTESTS.ASM,.ASM,10778,interrupt read,"{""interrupt"": 2, ""read"": 2}"
BIOS/AT_PAL/JOURNAL.DOC,.DOC,8644,GRYPHON interrupt read audio,"{""GRYPHON"": 2, ""audio"": 1, ""interrupt"": 3, ""read"": 3}"
BIOS/AT_PAL/KEYBOARD.ASM,.ASM,15756,interrupt read,"{""interrupt"": 3, ""read"": 16}"
BIOS/AT_PAL/KMFIT.INC,.INC,2163,interrupt,"{""interrupt"": 6}"
BIOS/AT_PAL/KYBCTL.ASM,.ASM,13979,interrupt read,"{""interrupt"": 5, ""read"": 8}"
