mov_dx_addr,mov_al_addr,command_byte,mcdx_name,out_addr,count_for_command,confidence
0xEDAF6,0xEDAFA,0xDC,version,0xEDAFC,1,high
0xEDC13,0xEDC17,0xF6,eject,0xEDC19,1,high
0xEDCB1,0xEDCB5,0xFE,lock door,0xEDCB9,3,high
0xEDCF1,0xEDCF5,0x40,status,0xEDCF7,13,high
0xEDEB7,0xEDEBB,0xAE,parameter/non-mcdx,0xEDEBF,1,medium
0xEDEF8,0xEDEFC,0xF8,close tray,0xEDEFE,1,high
0xEDF73,0xEDF77,0x90,configure IRQ/DMA,0xEDF7B,7,high
0xEE1A8,0xEE1AC,0x8E,parameter/non-mcdx,0xEE1AE,1,medium
0xEE300,0xEE304,0xFE,lock door,0xEE308,3,high
0xEE84C,0xEE850,0xB0,parameter/non-mcdx,0xEE852,1,medium
0xEEE4E,0xEEE52,0x40,status,0xEEE54,13,high
0xEEEDE,0xEEEE2,0x40,status,0xEEEE4,13,high
0xEF0FC,0xEF100,0x70,hold/pause,0xEF102,5,high
0xEF123,0xEF127,0x50,drive mode,0xEF12B,9,high
0xEF1D3,0xEF1D7,0x50,drive mode,0xEF1DB,9,high
0xEF3B0,0xEF3B4,0x40,status,0xEF3B6,13,high
0xEF3E4,0xEF3E8,0x50,drive mode,0xEF3EC,9,high
0xEF444,0xEF448,0x90,configure IRQ/DMA,0xEF44C,7,high
0xEF44D,0xEF451,0x04,parameter/non-mcdx,0xEF453,3,medium
0xEF456,0xEF45A,0x01,parameter/non-mcdx,0xEF45C,1,medium
0xEF4C0,0xEF4C4,0x70,hold/pause,0xEF4C6,5,high
0xEF4E2,0xEF4E6,0x50,drive mode,0xEF4EA,9,high
0xEF508,0xEF50C,0x90,configure IRQ/DMA,0xEF510,7,high
0xEF511,0xEF515,0x04,parameter/non-mcdx,0xEF517,3,medium
0xEF56B,0xEF56F,0x70,hold/pause,0xEF571,5,high
0xEF58D,0xEF591,0x50,drive mode,0xEF595,9,high
0xEF5B3,0xEF5B7,0x90,configure IRQ/DMA,0xEF5BB,7,high
0xEF5BC,0xEF5C0,0x04,parameter/non-mcdx,0xEF5C2,3,medium
0xEF612,0xEF616,0x40,status,0xEF618,13,high
0xEF839,0xEF83D,0x40,status,0xEF83F,13,high
0xEF8C7,0xEF8CB,0xC0,read 1x,0xEF8CF,3,high
0xEF98C,0xEF990,0x50,drive mode,0xEF994,9,high
0xEFB97,0xEFB9B,0x70,hold/pause,0xEFB9D,5,high
0xEFDF8,0xEFDFC,0x90,configure IRQ/DMA,0xEFE00,7,high
0xEFE10,0xEFE14,0x90,configure IRQ/DMA,0xEFE18,7,high
0xEFE28,0xEFE2C,0x90,configure IRQ/DMA,0xEFE30,7,high
0xEFE45,0xEFE49,0x50,drive mode,0xEFE4D,9,high
0xEFF57,0xEFF5B,0x40,status,0xEFF5D,13,high
0xF00CB,0xF00CF,0x40,status,0xF00D1,13,high
0xF0180,0xF0184,0x40,status,0xF0186,13,high
0xF035A,0xF035E,0x40,status,0xF0360,13,high
0xF040A,0xF040E,0x50,drive mode,0xF0412,9,high
0xF0421,0xF0425,0xC0,read 1x,0xF0429,3,high
0xF0454,0xF0458,0x50,drive mode,0xF045C,9,high
0xF053A,0xF053E,0x40,status,0xF0540,13,high
0xF0582,0xF0586,0x70,hold/pause,0xF0588,5,high
0xF06A1,0xF06A5,0x40,status,0xF06A7,13,high
0xF076F,0xF0773,0x20,sub-Q,0xF0775,1,high
0xF081B,0xF081F,0x10,toc/disk info,0xF0821,1,high
0xF08B0,0xF08B4,0xC0,read 1x,0xF08B8,3,high
0xF0A63,0xF0A67,0x41,parameter/non-mcdx,0xF0A69,1,medium
0xF0EB0,0xF0EB4,0x40,status,0xF0EB6,13,high
0xF1238,0xF123C,0xFE,lock door,0xF1240,3,high
