handler,handler_range,command_byte,mcdx_name,write_addresses
0x80,0xEF656-0xEFBEF,0x40,status,0xEF83F
0x80,0xEF656-0xEFBEF,0x50,drive mode,0xEF994
0x80,0xEF656-0xEFBEF,0x70,hold/pause,0xEFB9D
0x80,0xEF656-0xEFBEF,0xC0,read 1x,0xEF8CF
0x82,0xEFE93-0xF000D,0x40,status,0xEFF5D
0x83,0xF000E-0xF019F,0x40,status,0xF00D1 0xF0186
0x84,0xF01A0-0xF04FF,0x40,status,0xF0360
0x84,0xF01A0-0xF04FF,0x50,drive mode,0xF0412 0xF045C
0x84,0xF01A0-0xF04FF,0xC0,read 1x,0xF0429
0x85,0xF051A-0xF0651,0x40,status,0xF0540
0x85,0xF051A-0xF0651,0x70,hold/pause,0xF0588
0x88,0xF0652-0xF076B,0x40,status,0xF06A7
