variable,reference_count,first_50_reference_addresses,working_name
0x005F,2,0xF0C4C 0xF1049,"base/parameter variable near port setup, not fully named"
0x0061,63,0xEDAF8 0xEDC15 0xEDCB3 0xEDCF3 0xEDEB9 0xEDEFA 0xEDF75 0xEE1AA 0xEE302 0xEE84E 0xEEE50 0xEEEE0 0xEF0FE 0xEF125 0xEF1D5 0xEF3B2 0xEF3E6 0xEF446 0xEF44F 0xEF458 0xEF4C2 0xEF4E4 0xEF50A 0xEF513 0xEF51C 0xEF56D 0xEF58F 0xEF5B5 0xEF5BE 0xEF5C7 0xEF614 0xEF83B 0xEF8C9 0xEF98E 0xEFB99 0xEFDFA 0xEFE12 0xEFE2A 0xEFE47 0xEFF59 0xF00CD 0xF00EE 0xF0182 0xF035C 0xF040C 0xF0423 0xF0456 0xF04A5 0xF053C 0xF0584,command/data port candidate
0x0063,18,0xED155 0xEF026 0xEF048 0xEF063 0xEF085 0xEF0A0 0xEF8F5 0xEFA9F 0xF0478 0xF08E9 0xF0925 0xF0954 0xF0998 0xF0A26 0xF0A36 0xF0A8D 0xF0B17 0xF105D,status/phase port candidate
0x0069,15,0xEEF80 0xEF404 0xEF7A9 0xEF8D1 0xEFD55 0xEFD82 0xEFDAF 0xEFF0B 0xF007F 0xF021F 0xF02B4 0xF042B 0xF05F8 0xF0640 0xF08BA,start MSF minute
0x006A,15,0xEEF79 0xEF409 0xEF7B1 0xEF8D7 0xEFD5A 0xEFD87 0xEFDB4 0xEFF13 0xF0087 0xF0227 0xF02BC 0xF0431 0xF05FE 0xF0643 0xF08C0,start MSF second
0x006B,15,0xEEF72 0xEF40E 0xEF7B9 0xEF8DD 0xEFD5F 0xEFD8C 0xEFDB9 0xEFF1B 0xF008F 0xF022F 0xF02C4 0xF0437 0xF0604 0xF0646 0xF08C6,start MSF frame
0x006C,14,0xEEF98 0xEF413 0xEF7C6 0xEFD64 0xEFD91 0xEFDBE 0xEFF21 0xF0095 0xF0264 0xF02F6 0xF05B6 0xF0649 0xF08CC 0xF1315,secondary MSF/count byte 1
0x006D,13,0xEEF91 0xEF418 0xEF7CB 0xEFD69 0xEFD96 0xEFDC3 0xEFF26 0xF009A 0xF026C 0xF02FE 0xF05BC 0xF064C 0xF08D2,secondary MSF/count byte 2
0x006E,13,0xEEF8A 0xEF41D 0xEF7D0 0xEFD6E 0xEFD9B 0xEFDC8 0xEFF2B 0xF009F 0xF0274 0xF0306 0xF05C2 0xF064F 0xF08D8,secondary MSF/count byte 3
0x00C5,7,0xEF96E 0xEF975 0xEF981 0xEF996 0xEFA9B 0xF0281 0xF0885,drive mode byte
0x00C6,10,0xEF492 0xEFA05 0xF0C6A 0xF0CBB 0xF0DBD 0xF1109 0xF111E 0xF1130 0xF1142 0xF1154,IRQ/vector selector
0x00C7,7,0xF0DF3 0xF0E02 0xF1113 0xF1128 0xF113A 0xF114C 0xF115E,PIC mask value
0x00C8,7,0xF0DF8 0xF0E07 0xF110E 0xF1123 0xF1135 0xF1147 0xF1159,EOI/vector-related value
0x00CB,8,0xEF74C 0xF0D92 0xF0E12 0xF0E49 0xF0F02 0xF0F39 0xF11E5 0xF12C5,buffer count low-ish
0x00CD,6,0xEF48B 0xEF750 0xEFA61 0xEFD1F 0xF0DA5 0xF11E8,transfer count/base
0x00ED,16,0xEDBBB 0xEF709 0xEF802 0xEFA4F 0xEFA5C 0xEFA65 0xEFC84 0xEFCF6 0xEFD02 0xEFD0D 0xEFD1A 0xEFD23 0xEFF35 0xF00A9 0xF0A41 0xF0BE5,transfer progress counter A
0x00EF,18,0xEDBC1 0xEF703 0xEF808 0xEFA53 0xEFA58 0xEFA69 0xEFD11 0xEFD16 0xEFD27 0xEFF3B 0xF00AF 0xF0B95 0xF0BD5 0xF0BE1 0xF0C00 0xF0C09 0xF0C12 0xF0C1E,transfer progress counter B
0x00FA,5,0xEF755 0xEFCFB 0xF0BDA 0xF0C0F 0xF0DA9,sector/transfer count candidate
0x0101,14,0xED55B 0xEEF6E 0xEF3D2 0xEF71D 0xEF73E 0xEF965 0xEFC5B 0xEFC94 0xF0849 0xF0B9B 0xF0C24 0xF0C55 0xF0E4D 0xF0E79,sector/transfer size low word
0x0103,57,0xEDB68 0xEDCA2 0xEDCD0 0xEDCD8 0xEDD12 0xEDE35 0xEDEAB 0xEDF32 0xEDFC3 0xEDFD4 0xEDFF3 0xEDFF9 0xEE00A 0xEE105 0xEE16E 0xEE182 0xEE1D3 0xEE238 0xEE25C 0xEE28E 0xEE2D3 0xEE3FC 0xEE486 0xEE574 0xEE6CA 0xEE74B 0xEE7E4 0xEE803 0xEEE7D 0xEEF2D 0xEF113 0xEF649 0xEF723 0xEF730 0xEF744 0xEF866 0xEF885 0xEFF91 0xF0112 0xF0179 0xF019B 0xF0203 0xF0286 0xF0390 0xF03D2 0xF0403 0xF0515 0xF056A 0xF06C6 0xF0915,sector/transfer size high/limit word
0x0500,8,0xEDA93 0xEDA9B 0xEF658 0xEF7FB 0xEFA2C 0xEFB42 0xF021C 0xF1131,transfer loop flag
0x0501,31,0xEDB62 0xEDC9C 0xEDD0C 0xEDEA5 0xEDF2C 0xEE02E 0xEE0FF 0xEE168 0xEE288 0xEE2CD 0xEE3F6 0xEE400 0xEE411 0xEE454 0xEE465 0xEE4B6 0xEE4C4 0xEE56E 0xEE6C4 0xEEE77 0xEEF27 0xEF643 0xEF87F 0xEFF8B 0xF010C 0xF038A 0xF050F 0xF0564 0xF06C0 0xF0843 0xF090F,media/attention state flag
0x0503,12,0xEF213 0xEFAA3 0xEFAB4 0xF00E7 0xF08E1 0xF091C 0xF094F 0xF0970 0xF098B 0xF0993 0xF0B26 0xF0C62,in-poll/status flag
0x0504,13,0xED556 0xED55E 0xF09FD 0xF1360 0xF1373 0xF137A 0xF1384 0xF138B 0xF13A9 0xF13E7 0xF13F8 0xF1404 0xF1415,delay calibration low
0x0506,11,0xF09F9 0xF1363 0xF136F 0xF1376 0xF1380 0xF1387 0xF13AC 0xF13EA 0xF13FB 0xF1407 0xF1418,delay calibration high
0x0508,10,0xEF041 0xEF07E 0xEF770 0xEF8C4 0xEFED9 0xF0054 0xF01F7 0xF08AD 0xF0B51 0xF0BF7,read helper flag
0x0509,8,0xF0E2A 0xF0E38 0xF0E5F 0xF0EF7 0xF0F2D 0xF12A7 0xF12EE 0xF12F7,/H host service mode
0x050A,4,0xEF237 0xF12BA 0xF12D6 0xF12E3,/H host service pointer low
0x050C,1,0xF12BE,/H host service pointer seg
