command_hex,standard_name,table_offset,handler_offset,handler_address
0x00,INIT,0x0519,0x3C4C,0xF0CD9
0x01,MEDIA CHECK,0x0519,0x0F9F,0xEE02C
0x02,BUILD BPB,0x0519,0x0AE7,0xEDB74
0x03,IOCTL INPUT,0x0519,0x0FA7,0xEE034
0x04,INPUT / READ,0x0519,0x0AE7,0xEDB74
0x05,NON-DESTRUCTIVE INPUT,0x0519,0x0AE7,0xEDB74
0x06,INPUT STATUS,0x0519,0x0AE7,0xEDB74
0x07,INPUT FLUSH,0x0519,0x0B19,0xEDBA6
0x08,OUTPUT / WRITE,0x0519,0x0AE7,0xEDB74
0x09,OUTPUT WITH VERIFY,0x0519,0x0AE7,0xEDB74
0x0A,OUTPUT STATUS,0x0519,0x0AE7,0xEDB74
0x0B,OUTPUT FLUSH,0x0519,0x0AE7,0xEDB74
0x0C,IOCTL OUTPUT,0x0519,0x0B43,0xEDBD0
0x0D,DEVICE OPEN,0x0519,0x0AFF,0xEDB8C
0x0E,DEVICE CLOSE,0x0519,0x0AFF,0xEDB8C
0x0F,REMOVABLE MEDIA,0x0519,0x0AE7,0xEDB74
0x80,extended/vendor command,0x0539,0x25C9,0xEF656
0x81,extended/vendor command,0x0539,0x0AE7,0xEDB74
0x82,extended/vendor command,0x0539,0x2E06,0xEFE93
0x83,extended/vendor command,0x0539,0x2F81,0xF000E
0x84,extended/vendor command,0x0539,0x3113,0xF01A0
0x85,extended/vendor command,0x0539,0x348D,0xF051A
0x86,extended/vendor command,0x0539,0x0AE7,0xEDB74
0x87,extended/vendor command,0x0539,0x0AE7,0xEDB74
0x88,extended/vendor command,0x0539,0x35C5,0xF0652
