constant,mcdx_name,total_byte_hits,first_40_addresses,command_write_count
0xC0,read 1x,131,0xED141 0xED14B 0xEDADE 0xEDB72 0xEDB76 0xEDB9D 0xEDBA2 0xEDBB1 0xEDBF8 0xEDBFC 0xEDC40 0xEDC44 0xEDCA5 0xEDCC5 0xEDCC9 0xEDCE5 0xEDE21 0xEDEDD 0xEDEE1 0xEDF46 0xEDF5A 0xEDF64 0xEE083 0xEE0ED 0xEE18F 0xEE29C 0xEE2A0 0xEE364 0xEE376 0xEE3E0 0xEE41F 0xEE4CA 0xEE4F3 0xEE4FB 0xEE557 0xEE57B 0xEE580 0xEE60D 0xEE7D2 0xEE7F8,3
0xC1,read 2x,29,0xEDA79 0xEDBE0 0xEE046 0xEE355 0xEE9B6 0xEE9C7 0xEECBC 0xEECC9 0xEED33 0xEED5A 0xEF27F 0xEF2A2 0xEF2E0 0xEF2F3 0xEF35B 0xEF7B4 0xEF977 0xEFE4F 0xEFE8A 0xEFF16 0xF008A 0xF022A 0xF026F 0xF02BF 0xF0301 0xF0323 0xF04DE 0xF0B88 0xF13C7,0
0x10,toc/disk info,49,0xED0EE 0xED4CF 0xED51D 0xED572 0xED5FD 0xEDA6C 0xEDF7D 0xEDFB1 0xEDFCB 0xEE003 0xEE949 0xEEE34 0xEF6E2 0xEF725 0xEF824 0xEF889 0xEF8BC 0xEF910 0xEF933 0xEF9F3 0xEFA17 0xEFC6C 0xEFC91 0xEFCA3 0xEFCAD 0xEFCDF 0xEFFDD 0xF0148 0xF01EB 0xF0820 0xF09D8 0xF0A59 0xF0BAA 0xF0BB9 0xF0C29 0xF0C64 0xF0C9B 0xF0CB8 0xF0D78 0xF0E17,1
0x11,multisession info,26,0xED0F0 0xED0F2 0xED4E3 0xED530 0xED573 0xEDD6D 0xEDD9C 0xEE441 0xEE4A7 0xEE4AC 0xEE50E 0xEE739 0xEE995 0xEF009 0xEF0C5 0xEF844 0xEF972 0xEF9A0 0xEF9C3 0xEF9D0 0xEFF66 0xEFFED 0xF0369 0xF0711 0xF109D 0xF11C2,0
0x20,sub-Q,71,0xED0B0 0xED0B4 0xED0BC 0xED0C8 0xED0D8 0xED0DC 0xED0E2 0xED0EB 0xED0EC 0xED137 0xED4D0 0xED513 0xEDB58 0xEDC92 0xEDD1C 0xEDE9B 0xEDF22 0xEE0F5 0xEE15E 0xEE27E 0xEE2C3 0xEE33C 0xEE3EC 0xEE46D 0xEE564 0xEE6BA 0xEE84B 0xEE901 0xEEE6D 0xEEF1D 0xEF0BB 0xEF639 0xEF875 0xEF8BB 0xEFF81 0xF0100 0xF0102 0xF037E 0xF0380 0xF04EB,1
0x40,status,52,0xED139 0xED147 0xEDB4A 0xEDCF6 0xEE032 0xEE0BC 0xEE2D6 0xEE3E5 0xEE445 0xEE45A 0xEE55D 0xEE5EA 0xEE5EB 0xEE6B3 0xEE8D9 0xEEE53 0xEEE66 0xEEEE3 0xEEF16 0xEF0D2 0xEF3B5 0xEF617 0xEF631 0xEF83E 0xEF86E 0xEFA78 0xEFCF8 0xEFF5C 0xEFF7B 0xEFFF1 0xEFFF3 0xF00D0 0xF00F6 0xF00F8 0xF015C 0xF015E 0xF0185 0xF035F 0xF04E3 0xF04E5,13
0x50,drive mode,41,0xEDA24 0xEDCE3 0xEE49C 0xEE666 0xEE8AB 0xEE978 0xEE9A8 0xEEA37 0xEEB3F 0xEEC9D 0xEED1B 0xEED31 0xEEDB3 0xEEE05 0xEEE14 0xEF128 0xEF1D8 0xEF3E9 0xEF4E7 0xEF592 0xEF991 0xEF9BE 0xEFA41 0xEFC1A 0xEFD89 0xEFE4A 0xF040F 0xF0459 0xF0721 0xF09DB 0xF0A17 0xF0A50 0xF0D04 0xF0DA3 0xF0DAD 0xF0EFD 0xF0F35 0xF0F4A 0xF1032 0xF1354,9
0x60,soft reset,10,0xED13B 0xED149 0xEE2F0 0xEE932 0xEF094 0xEF410 0xF057B 0xF0750 0xF0D9C 0xF1014,0
0x70,hold/pause,12,0xED0A9 0xED0C0 0xEE11B 0xEE858 0xEF101 0xEF4C5 0xEF570 0xEFA84 0xEFB9C 0xF0320 0xF0371 0xF0587,5
0x90,configure IRQ/DMA,44,0xEDAA8 0xEDF78 0xEE10F 0xEE2F1 0xEE720 0xEEE30 0xEF3BA 0xEF3D6 0xEF449 0xEF50D 0xEF5B8 0xEF9C4 0xEFA0F 0xEFA47 0xEFC6D 0xEFDFD 0xEFE15 0xEFE2D 0xF008C 0xF00EB 0xF0409 0xF0551 0xF05B9 0xF05D5 0xF061A 0xF068B 0xF094B 0xF0975 0xF0977 0xF098F 0xF09B5 0xF09B6 0xF09B9 0xF09BB 0xF0A05 0xF0A06 0xF0B32 0xF0CB1 0xF0DD5 0xF0DDC,7
0xA0,data mode,176,0xED13F 0xEDB46 0xEDCBA 0xEDDCA 0xEDDE7 0xEDDF6 0xEDE05 0xEDE97 0xEDEC0 0xEDEC6 0xEDECC 0xEDED2 0xEE0B8 0xEE0CE 0xEE0CF 0xEE0D8 0xEE0E2 0xEE0F1 0xEE123 0xEE12B 0xEE133 0xEE134 0xEE15A 0xEE25E 0xEE262 0xEE266 0xEE26A 0xEE27A 0xEE2B4 0xEE3E1 0xEE414 0xEE533 0xEE53A 0xEE541 0xEE548 0xEE54F 0xEE559 0xEE5D6 0xEE667 0xEE66B,0
0xDC,version,20,0xEDAFB 0xEDCAC 0xEDCAF 0xEE873 0xEE878 0xEE888 0xEEC6F 0xEEC87 0xEF278 0xEFFE6 0xF01DC 0xF03DF 0xF0420 0xF0453 0xF046A 0xF049F 0xF04FA 0xF0ABC 0xF0AC7 0xF0AFE,1
0xF0,stop,31,0xEDA82 0xEDA9F 0xEDBF3 0xEDE1F 0xEDF9C 0xEE052 0xEE132 0xEE61A 0xEF222 0xEF245 0xEF2ED 0xEF30A 0xEF325 0xEF355 0xEF372 0xEF385 0xEF437 0xEF6A9 0xEF6B4 0xEF7C8 0xEFC3B 0xEFC64 0xEFE80 0xEFF41 0xEFF98 0xEFFE3 0xF014E 0xF022C 0xF0A9A 0xF0CFC 0xF1322,0
0xF6,eject,56,0xEDAD4 0xEDB14 0xEDC18 0xEDC33 0xEDC88 0xEDC90 0xEDCA6 0xEDE26 0xEDF18 0xEDF20 0xEDF34 0xEE1C4 0xEE348 0xEE422 0xEE4BD 0xEE4C8 0xEE4CC 0xEE4E7 0xEE597 0xEE5E8 0xEE72C 0xEE834 0xEE88C 0xEE893 0xEE9BB 0xEED34 0xEED5B 0xEEE0F 0xEF194 0xEF1B8 0xEF1C0 0xEF21D 0xEF241 0xEF273 0xEF390 0xEF39C 0xEF3CA 0xEFCC8 0xEFE79 0xF0032,1
0xF8,close tray,49,0xEDAE1 0xEDBB6 0xEDEE3 0xEDEFD 0xEDF56 0xEE2E3 0xEE371 0xEE374 0xEE432 0xEE636 0xEE63F 0xEE747 0xEE82A 0xEE82D 0xEEA4D 0xEED2C 0xEEF01 0xEEFED 0xEF291 0xEF6F2 0xEF7F6 0xEF810 0xEF854 0xEF8B7 0xEF948 0xEF9F6 0xEFA72 0xEFA8B 0xEFB23 0xEFB80 0xEFBDA 0xEFC04 0xEFF30 0xF00A4 0xF0224 0xF039E 0xF03A5 0xF046D 0xF04BF 0xF0654,1
0xFE,lock door,138,0xEDA62 0xEDB06 0xEDB23 0xEDB38 0xEDB8A 0xEDB8B 0xEDBA0 0xEDBA5 0xEDBE4 0xEDBEF 0xEDBFF 0xEDC0D 0xEDC23 0xEDC3A 0xEDC47 0xEDC55 0xEDC6B 0xEDC78 0xEDC8F 0xEDCB6 0xEDCE2 0xEDE1A 0xEDE22 0xEDE3E 0xEDE46 0xEDE55 0xEDE5D 0xEDE6C 0xEDE76 0xEDE85 0xEDE8F 0xEDF08 0xEE0A1 0xEE0AD 0xEE1B8 0xEE1DC 0xEE1E3 0xEE1FD 0xEE21E 0xEE22B,3
